Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude
All Or Nothing Tattoo Studio,,,,+27 82 556 0898,145 Sir Lowry Rd - Zonnebloem - Cape Town - Western Cape - Cape Town - 7925 - South Africa,10a.m. - 2p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 6p.m.,Closed,-33.9280625,18.443187500000008
Firehawk Ink,,,https://firehawkink.wixsite.com/tattoo,+27 72 693 6334,15 Lingfield closer Close - Milnerton Ridge - Cape Town - 7441 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,-33.8488125,18.513312499999998
Lady Luck Tattoos,,,,,2nd floor - 53 Wale St - CBD - Cape Town - 8001 - South Africa,,,,,,,,-33.922312500000004,18.416062499999995
Vg Tattooing,,,,+27 78 599 8900,64 Clare St - Connaught - Cape Town - 7490 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-33.93143750000001,18.587562500000004
Mimi D Tattoo,,,https://www.instagram.com/mimi_d_tattoo/,,136 Buitenkant St - Gardens - Cape Town - 8001 - South Africa,,,,,,,,-33.933437500000004,18.419187500000007
Ironclad Tattoos,,,https://aidincityonfire.wixsite.com/ironcladtattoos,+27 84 955 0943,3 Viola Rd - Table View - Cape Town - 7441 - South Africa,9a.m. - 12p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 12p.m.,-33.819187500000005,18.47756249999999
Gypsy Cove Tattoo,,,,+27 74 318 0080,2nd Floor - One11 Gallery - 111 Loop St - Cape Town City Centre - Cape Town - 8001 - South Africa,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 3p.m.,11a.m. - 3p.m.,-33.92268750000001,18.417937500000008
The Tattoo Shop Bellville,,,,+27 72 351 5177,217 Bellevue St - Kempenville - Cape Town - 7530 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,-33.90168750000001,18.6358125
444Tattoostudio,,,https://www.instagram.com/444tattoostudio/,+27 69 632 3689,Sable Square Shopping Centre - Century City - Cape Town - 7441 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,Closed,-33.8818125,18.51006249999999
Tattoo At Studio 52,,,,,Milnerton Rural - Cape Town - 7441 - South Africa,,,,,,,,-33.813812500000004,18.507437499999995
Skin Tattoo Studio,,,https://skintattoo.weebly.com/,+27 66 238 5571,106 Scott Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 9p.m.,9a.m. - 5p.m.,9a.m. - 12p.m.,Closed,-33.8995625,18.575937500000023
Long Street Tattoo Co.,,,https://longstreettattoo.co.za/,+27 81 897 2531,305 Long St - CBD - Cape Town - 8001 - South Africa,Closed,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,11a.m. - 7p.m.,Closed,-33.927062500000005,18.414187499999983
West Coast Inked Tattoo,,,,+27 73 733 5724,35 coot cresent Flamingo Vlei - Milnerton Rural - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-33.8354375,18.505812500000005
The Salty Dog Tattoo Parlour,,,,,374 - 14 Salt Circle Arcade - Albert Rd - Salt River - Cape Town - 7925 - South Africa,,,,,,,,-33.9281875,18.458187499999994
The Tattoo Den,,,https://thetattooden.business.site/?utm_source=gmb&utm_medium=referral,+27 73 373 4681,10 Wellington St - Portland - Cape Town - 7785 - South Africa,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,11a.m. - 8p.m.,-33.8879375,18.636812499999976
Luna Tattoo,,,,,107 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 3p.m.,-33.825187500000006,18.492187499999986
Cailin Tattoo,,,,,111 Loop St - Cape Town City Centre - Cape Town - 8001 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 4p.m.,Closed,-33.92268750000001,18.417937500000008
Aztec Tatoo & Piercing,,,,,Edward Rd - Bo Oakdale - Cape Town - 7530 - South Africa,,,,,,,,-33.881437500000004,18.635562499999978
Die Honest,,,diehonest.com,,Sins of Style - 37 Barrack St - Zonnebloem - Cape Town - 7925 - South Africa,,,,,,,,-33.9280625,18.42343750000002
Cpt Ink Addicts,,,https://cpt-ink-addicts.business.site/?utm_source=gmb&utm_medium=referral,+27 61 585 9347,4 Ayrshire Cl - Westridge - Cape Town - 7785 - South Africa,Closed,Closed,Closed,Closed,Closed,10a.m. - 6p.m.,10a.m. - 3p.m.,-34.0528125,18.607062499999998
Regnif Temporary Tattoos,,,,,45 Mill St - Gardens - Cape Town - 8001 - South Africa,,,,,,,,-33.9335625,18.41856250000002
Temp Tattoos Cc,,,,+27 21 433 0396,Helen Suzman Blvd - Cape Town - 8000 - South Africa,,,,,,,,-33.91406250000001,18.421312500000013
Disciples Ink,,,,+27 83 783 0183,Floor 1 High Street Ctr Tygervalley - Bellville - 7530 - South Africa,,,,,,,,-33.8688125,18.639562499999997
Killswitch Ink Cape Town,,,,+27 81 499 1138,86 Charles Grodes Cres - Ravensmead - Cape Town - 7493 - South Africa,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6:30p.m.,9a.m. - 6p.m.,Closed,-33.9271875,18.6045625
Wild Side Tattoos,,,wildsidetattooz.co.za,+27 78 761 9932,80 Da Gama Street - 1 Barnhyme Court - Brooklyn - Cape Town - 7405 - South Africa,,,,,,,,-33.908687500000006,18.482937499999977
Here Now Tattoo,,,https://www.instagram.com/herenowtattoo/,,2nd floor - 53 Wale St - CBD - Cape Town - 8001 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10:30a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.922312500000004,18.416062499999995
Bad Monkey Tattoo Studio,,,,,258 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,,,,,,,,-33.831812500000005,18.513562499999992
The Gallery Tattoo Studio,,,,+27 79 474 8403,363 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed,-33.927312500000006,18.45631249999998
Hood Ink Tattoos,,,https://www.facebook.com/hoodinktattoos,+27 61 854 9087,Postdam Road & - Winning Way - Dunoon - Cape Town - 7441 - South Africa,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,9a.m. - 7:30p.m.,-33.8154375,18.536937500000008
Midnight Sun Tattoo,,,,+27 76 912 1381,unit 5 - Eaton Centre - 19 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-33.8220625,18.480562499999976
Siegwerk Ink,,,,+27 21 552 6125,17 3rd St - Montague Gdns Ind - Cape Town - 7441 - South Africa,,,,,,,,-33.8616875,18.519687500000018
The Tattoo Valley,,,thetattoovalley.co.za,+27 79 217 6199,Appointment only - 37 Longboat St - Sunnydale - Cape Town - 7975 - South Africa,,,,,,,,-34.1256875,18.391937499999997
Wredekloof Hair And Tattoo Studio,,,https://www.facebook.com/hairbyjessiedk/,+27 76 870 0327,4 Marigold Way - Vredekloof - Cape Town - 7560 - South Africa,9a.m. - 5:30a.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,8:30a.m. - 5:30p.m.,8:30a.m. - 3p.m.,Closed,-33.8594375,18.683312500000014
The Ink Lounge,,,https://www.facebook.com/The-Ink-Lounge-111249148902892/,+27 84 650 3749,144 Voortrekker Rd - Glenlily - Cape Town - 7500 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,9a.m. - 2p.m.,Closed,-33.90656250000001,18.583187500000022
Candy Moment Tattoos,,,,,Marine drive - Helderberg Rural - Cape Town - 7140 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 1p.m.,-34.153687500000004,18.8678125
Freestylers Tattoo Lounge,,,,,12 Beach Blvd - Table View - Cape Town - 7441 - South Africa,,,,,,,,-33.8208125,18.477062500000002
Hooligansink,,,,+27 84 818 5207,25 Rhebok Cl - Loevenstein - Cape Town - 7530 - South Africa,,,,,,,,-33.887687500000006,18.615187499999976
Tattoo Zone Studio,,,,+27 81 518 2969,83 Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2p.m.,-33.90706250000001,18.578812500000012
Tattooist Guy,,,https://www.tattooistguy.com/,+27 74 185 8425,48 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 1p.m.,10a.m. - 5p.m.,9a.m. - 12p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,-33.926437500000006,18.445437499999983
Ghostbong Tattoos,,,,+27 81 762 9702,128 Fairview Rd - penhill estate - Cape Town - 7100 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,-33.9924375,18.736312499999983
Tattoos By Gabrin Minnaar,,,,,43 Van Riebeeck Rd - Kuils River - Cape Town - 7580 - South Africa,,,,,,,,-33.922312500000004,18.67706250000002
Iron Warrior Tattoo Supplies,,,,,5 Cornwall Pl - Wynberg - Cape Town - 7800 - South Africa,,,,,,,,-34.001062499999996,18.467812499999994
Salvatrix Ink Tattoo Studio,,,,+27 76 798 5377,Grove Ave - Cape Town - 7735 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 5p.m.,-33.982687500000004,18.46231249999998
Lafriniere Collection,,,,+27 83 566 7431,138 Bree St - Cape Town City Centre - Cape Town - 8001 - South Africa,,,,,,,,-33.9229375,18.416062499999995
Gugulethu Tattoo Store,,,chrome-error://chromewebdata/,+27 63 785 3572,Ny13 No21 - Guguletu - Cape Town - 7750 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,9:30a.m. - 6a.m.,11a.m. - 3p.m.,-33.980312500000004,18.5625625
Hoodoo Tattoos,,,,+27 21 554 4086,Eden On The Bay Mall - Sir David Baird Dve - Bloubergstrand - Milnerton - 7441 - South Africa,,,,,,,,-33.80018750000001,18.461062499999983
Satori Ink Cpt,,,,+27 61 590 6231,Allenby Dr - Retreat - Cape Town - 7945 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,-34.067687500000005,18.4686875
Smackatatt,,,,+27 76 135 3371,2 Kingsmead Ave - Kingston - Cape Town - 7530 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,-33.8978125,18.632437499999995
The Tattoo Lounge,,,,+27 81 869 5600,460 Main Rd - Retreat - Cape Town - 7945 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-34.080562500000006,18.455812499999993
Mean Jean Tattoos,,,,+27 71 179 0057,31 Justin St - Brooklyn - Cape Town - 7405 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,10a.m. - 8p.m.,Closed,-33.9079375,18.482687499999983
C.T.E Tattoos Supplies,,,https://www.illusiontattoos.co.za/,+27 81 374 9130,152 Gie Rd - Table view - Cape Town - 7441 - South Africa,,,,,,,,-33.806937500000004,18.51481249999999
Shapeshiftstudio,,,,+27 79 710 4312,1 Glynville terrace - no.5A media hive building - Gardens - Cape Town - 0070 - South Africa,Closed,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,11a.m. - 5:30p.m.,12 - 5:30p.m.,Closed,-33.93181250000001,18.416562499999984
Oldfield Tattoos,,,,+27 21 461 5218,5 Wandel St - Gardens - Cape Town - 8001 - South Africa,Closed,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,10:30a.m. - 6p.m.,Closed,-33.93143750000001,18.417687500000014
Maverick Ink Sa,,,,,120 Main Rd - Muizenberg - Cape Town - 7950 - South Africa,,,,,,,,-34.10668750000001,18.467687499999997
@ That Tattoo Studio,,,chrome-error://chromewebdata/,+27 65 350 7565,9 Campberwell rd - 702 The Ritz - Sea Point - Cape Town - 8005 - South Africa,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,-33.909312500000006,18.396937499999993
Laser Tattoo Removal Cape Town,,,lasertattooremovalcapetown.co.za,+27 79 168 7209,102 Oakland Hill Rd - Parklands - Cape Town - 7441 - South Africa,Closed,11a.m. - 4p.m.,11a.m. - 4p.m.,11a.m. - 4p.m.,Closed,10a.m. - 4p.m.,Closed,-33.7968125,18.499687500000007
Ctrl+Alt+Del Tattoo Removal & Lightening,,,,+27 83 411 1821,17 Redcliffe Cl - Parklands - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 3p.m.,Closed,-33.81418750000001,18.499062499999994
Empire Tattoo Studio,,,https://hadleybrauns5.wixsite.com/my-site,+27 84 445 1999,Shop 4 - 144 Main Rd - Somerset West - Cape Town - 7130 - South Africa,,,,,,,,-34.0819375,18.849437500000036
Carvel,,,carvel.co.za,+27 82 044 2038,65 Beach Rd - Chapmans Peak - Cape Town - 7979 - South Africa,,,,,,,,-34.0984375,18.363687499999983
Folk Tattoo & Piercing Studio,,,folktattoo.co.za,+27 67 398 3718,13 Louw St - Stellenbosch Central - Stellenbosch - 7600 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,-33.93918750000001,18.860687499999997
Black.Inktattoostudio,,,,,Mpangele St - Atlantis - Cape Town - 7349 - South Africa,,,,,,,,-33.5873125,18.50518749999999
Ink Aesthetics,,,https://inkaestheticsorg.wordpress.com/,,Beach Rd - Melkbosstrand - Cape Town - 7441 - South Africa,11a.m. - 5p.m.,10a.m. - 6p.m.,11a.m. - 5p.m.,10a.m. - 6p.m.,11a.m. - 3p.m.,Closed,Closed,-33.7269375,18.441687499999986
Black Tiger Ink,,,https://www.facebook.com/Black-Tiger-Ink-608937229628650,+27 82 863 8144,655 Delft Main Rd - Delft South - Cape Town - 7100 - South Africa,Closed,1 - 4p.m.,1 - 4:30p.m.,Closed,Closed,9a.m. - 4p.m.,1 - 4p.m.,-33.9920625,18.633937499999988
Betha_Ink Tattoo & Piercing,,,,+27 67 946 9011,24 Plein St - Cape Town City Centre - Cape Town - 8000 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
Dust Tattoo,,,dusttattoo.co.za,+27 71 010 3774,Unit 11 - The Royal - 4 Queens Park Ave - Salt River - Cape Town - 7925 - South Africa,Closed,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,Closed,-33.9329375,18.457062499999992
Primal Culture Tattoo Studio,,,,,108 Main Rd - Plumstead - Cape Town - 7800 - South Africa,,,,,,,,-34.019687499999996,18.4675625
Tattootimes,,,https://zen-tattoo-design.business.site/?utm_source=gmb&utm_medium=referral,+27 81 701 5046,11 Kromriver Cl - Portland - Cape Town - 7785 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,6a.m. - 5p.m.,Closed,-34.0415625,18.609312499999973
Ink Stained Skin,,,,,21 Lower Collingwood Rd - Observatory - Cape Town - 7925 - South Africa,,,,,,,,-33.9360625,18.472187500000004
The Tattoo Den,,,,+27 73 373 4681,10 Wellington - Portland - Cape Town - 7785 - South Africa,10a.m. - 10p.m.,10a.m. - 11p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,10a.m. - 10p.m.,-34.057812500000004,18.614812499999985
Just The Tip Art Studio,,,,+27 83 887 3877,6 Oceanus Way - Phoenix - Cape Town - 7441 - South Africa,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,12 - 4p.m.,-33.8770625,18.505687500000008
Tattoo Furniture Design,,,,+27 21 421 1338,Culemborg Ctr - Oswald Pirow St - Foreshore - Cape Town - 8001 - South Africa,,,,,,,,-33.920812500000004,18.433562500000008
Tattoo,,,,,Belvedere Rd - Muizenberg - Cape Town - 7950 - South Africa,,,,,,,,-34.1048125,18.468187500000013
Necrobeartattoos,,,,,10 Berrydel Ave - Greenway Rise - Cape Town - 7130 - South Africa,,,,,,,,-34.0721875,18.84418749999999
Disciples Ink Hermanus Tattoo Studio,,,disciplesink.co.za,+27 78 464 1660,3 High St - CBD - Hermanus - 7200 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,Closed,-34.4190625,19.242187499999986
Handstyle Tattoos 7Th Street Studio,4.8,117,handstyletattoos.co.za,+27 72 540 8368,Shop 4B - 7th St - Melville - Johannesburg - 2109 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.177312500000006,28.008687499999994
1933 Classic Tattoos,4.8,104,http://www.1933.co.za/,+27 11 403 0077,33 De Korte St - Braamfontein - Johannesburg - 2000 - South Africa,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,9:30a.m. - 5:30p.m.,10a.m. - 4p.m.,Closed,-26.193937500000004,28.030937500000007
Tattoos & Body Piercings By Dee,4.9,276,tattoosbydee.co.za,+27 83 669 0770,Next to Boston College - 36 De Beer St - Braamfontein - Johannesburg - 2001 - South Africa,Closed,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,10:30a.m. - 1:30p.m.,Closed,-26.1919375,28.034687500000004
Tattoos By Charlene,4.9,58,https://hilliercharlene.wixsite.com/tattoosbycharlene,+27 71 334 4172,10 Thames Rd - Bertrams - Johannesburg - 2094 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,-26.195312500000007,28.066687499999986
J.C Tattoo & Body Piercing,4.6,27,,+27 76 658 2727,139 Main Rd - Newlands - Johannesburg - 2093 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,8:30a.m. - 4p.m.,Closed,-26.175312500000004,27.966937499999986
Uws Blvck Ink Tattooz - Braamfontein,4.3,33,uwsblvckinktattooz.co.za,+27 83 451 6584,Shop 3 - Right Side - 93 Juta St - Braamfontein - Johannesburg - 2001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-26.194187500000005,28.036687499999985
Om Tattooz And Body Piercing,5.0,77,,+27 73 233 6855,114 main street - corner Von Brandis St - CBD - Johannesburg - 2000 - South Africa,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 5:30p.m.,9a.m. - 3:30p.m.,10a.m. - 2p.m.,-26.206562500000004,28.044812499999992
Hillbilly Ink Tattoos & Piercing,4.4,72,https://hillbilly-ink-tattoos-piercing.business.site/?utm_source=gmb&utm_medium=referral,+27 82 924 6803,55 St Elmo Ave - Mayfair West - Johannesburg - 2092 - South Africa,Closed,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed,-26.196937500000004,28.00043749999999
The Crows Nest,4.7,45,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fthecrowsnestsa%2F&refsrc=deprecated&_rdr,+27 83 357 0214,61 4th Ave - Melville - Johannesburg - 2092 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 4:30p.m.,-26.175062500000003,28.005562499999982
Soweto Ink,4.5,102,https://www.sowetoink.com/,+27 61 077 4483,Zone 03 - 7580 Immink Street Diepkloof - Johannesburg - 2001 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,-26.2340625,27.952062499999997
Matchstick Tattoo Studio,4.9,54,matchsticktattoos.co.za,+27 60 742 3986,117 Langerman Dr - South Kensington - Johannesburg - 2094 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4a.m.,-26.1869375,28.11268749999998
Kevins Kustom Tattoos At Sacred Art Tattoo Lounge,4.6,16,https://www.facebook.com/kevinskustomtattoos/,+27 73 144 0115,11 Cadoza St - Westdene - Johannesburg - 2092 - South Africa,,,,,,,,-26.176250000000003,27.996249999999975
Sacredserpent,4.9,24,,+27 79 526 8498,Unit U4B - Quality House Office Park - 33 St Christopher Rd - St Andrews - Johannesburg - South Africa,Closed,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,10a.m. - 3p.m.,Closed,-26.155437500000005,28.131312499999993
Sally Mustang Tattoos,4.8,333,https://www.sallymustangs.co/,+27 11 809 8094,Were - 39 Stanley Ave - Braamfontein - Johannesburg - 2092 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed,-26.184937500000004,28.01881250000001
Ethel Tattoo Artist,4.5,12,,+27 76 235 8235,43 Frost Ave - Braamfontein Werf - Johannesburg - 2092 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-26.1874375,28.02006250000001
Os By Tshepo(Private Piercing/Tattoo Shop),5.0,50,tattoosbytshepo.co.za,+27 62 241 5237,24 Siemert Rd - New Doornfontein - Johannesburg - 2001 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9p.m. - 12a.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 5:30p.m.,-26.2019375,28.0553125
Dark Neon Tattoos & Piercings,5.0,46,darkneon.co.za,+27 87 941 2676,7 6th St - Parkhurst - Johannesburg - 2193 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 6p.m.,Closed,-26.1426875,28.0156875
Studio57 - Canvas Cultique Tattoo Studio,4.9,89,canvascultique.co.za,+27 83 398 3571,57 6th St - Parkhurst - Randburg - 2193 - South Africa,10a.m. - 5p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,-26.143437499999997,28.019812500000015
Art Pop Tattoos & Piercing,4.8,98,artpop.co.za,+27 64 722 8648,99 Linksfield Rd - Edenvale - Johannesburg - 1609 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed,-26.150062500000004,28.13543749999998
Fallen Heroes Tattoo // Art,4.8,433,fallenheroes.co.za,+27 11 028 0994,249 Barry Hertzog Ave - Emmarentia - Randburg - 2195 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,Closed,-26.145812500000005,28.007937499999983
Hillside Tattoo Studio,4.9,61,hillsidetattoo.net,+27 68 422 0848,396 Jan Smuts Avenue Randburg - Craighall Park - Johannesburg - 2196 - South Africa,Closed,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 4p.m.,9a.m. - 2p.m.,Closed,-26.114812500000006,28.02243750000001
True Black Body Arts Studio,3.6,22,,+27 72 337 3340,21 Ntemi Piliso St - Newtown - Johannesburg - 2113 - South Africa,,,,,,,,-26.199687500000003,28.03568750000001
Ink To Skin Tattooing,4.8,68,https://inktoskin.co.za/,+27 84 273 9364,Vitality Medical Centre - 184 Columbine Ave - Mondeor - Johannesburg South - 2091 - South Africa,Open 24 hours,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,-26.274812500000003,28.000312499999993
Thinkin' Skin - Temptoo Temporary Tattoos,5.0,11,https://thinkinskin.wordpress.com/%20%20%20%20%20%20%20www.thinkinskin.business.site,+27 78 032 4863,Sneddon St - Sydenham - Johannesburg - 2192 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,-26.153937500000005,28.0925625
